Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.10%     app_process      2885  2885  /system/bin/linker                          [linker]memcpy
0.10%     main             2885  2885  /system/lib/libart.so                       artQuickResolutionTrampoline
0.09%     Jit thread pool  2885  3079  [kernel.kallsyms]                           unknown
0.09%     am               2885  2885  /system/bin/linker                          [linker]void out_vformat<BufferOutputStream>(BufferOutputStream&, char const*, std::__va_list)
0.09%     main             2885  2885  /system/lib/libart.so                       art::ReaderMutexLock::~ReaderMutexLock()
0.09%     am               2885  2885  /system/bin/linker                          [linker].udivsi3_skip_div0_test
0.09%     am               2885  2885  /system/bin/linker                          [linker]packed_reloc_iterator<sleb128_decoder>::next()
0.09%     main             2885  3088  [kernel.kallsyms]                           unknown
0.09%     app_process      2885  2885  /system/lib/libart.so                       art::TokenRange::MaybeMatches(art::TokenRange const&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&) const
0.09%     am               2885  2885  /system/lib/libc.so                         unknown
0.09%     main             2885  2885  /system/lib/libart.so                       art::ScopedObjectAccessUnchecked::~ScopedObjectAccessUnchecked()
0.08%     app_process      2885  2885  /system/lib/libLLVM.so                      unknown
0.08%     Binder:2885_1    2885  3132  [kernel.kallsyms]                           unknown
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerBlockAllocator::alloc()
0.08%     main             2885  2885  /system/lib/libart.so                       art::FindFieldID(art::ScopedObjectAccess const&, _jclass*, char const*, char const*, bool)
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]load_library(android_namespace_t*, LoadTask*, std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >*, int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)
0.08%     am               2885  2885  /system/bin/linker                          [linker]soinfo::lookup_version_info(VersionTracker const&, unsigned int, char const*, version_info const**)
0.08%     main             2885  2885  /system/lib/libart.so                       art::interpreter::ArtInterpreterToCompiledCodeBridge(art::Thread*, art::ArtMethod*, art::DexFile::CodeItem const*, art::ShadowFrame*, art::JValue*)
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]getdelim
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]ElfReader::ReadDynamicSection()
0.08%     main             2885  2885  /system/bin/linker                          [linker]make_global_group(android_namespace_t*)
0.08%     am               2885  2885  /system/bin/sh                              unknown
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::lookup_version_info(VersionTracker const&, unsigned int, char const*, version_info const**)
0.08%     main             2885  2885  /system/lib/libart.so                       art::Thread::DecodeJObject(_jobject*) const
0.08%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerMemoryAllocator::alloc(unsigned int)
0.08%     main             2885  2885  /system/lib/libart.so                       art::ArtMethod::Invoke(art::Thread*, unsigned int*, unsigned int, art::JValue*, char const*)
0.08%     main             2885  2885  /system/lib/libart.so                       artAllocObjectFromCodeInitializedRosAlloc
0.06%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerBlockAllocator::protect_all(int)
